,사용일자,호선명,지하철역,승차총승객수,하차총승객수,승하차총승객수
0,20200101,공항철도,영종,2084,2010,4094
1,20200101,공항철도,인천공항2터미널,5990,5801,11791
2,20200101,공항철도,인천공항1터미널,16835,17571,34406
3,20200101,공항철도,공항화물청사,1344,1439,2783
4,20200101,공항철도,운서,5812,6205,12017
5,20200101,공항철도,청라국제도시,2909,2894,5803
6,20200101,공항철도,검암,3749,4134,7883
7,20200101,공항철도,계양,4539,4675,9214
8,20200101,공항철도,김포공항,8633,4690,13323
9,20200101,공항철도,마곡나루,1495,1764,3259
10,20200101,공항철도,디지털미디어시티,3420,3501,6921
11,20200101,공항철도,홍대입구,10405,9279,19684
12,20200101,공항철도,공덕,1281,1964,3245
13,20200101,공항철도,서울역,14369,10789,25158
14,20200102,공항철도,서울역,14563,11779,26342
15,20200102,공항철도,공덕,2741,3602,6343
16,20200102,공항철도,홍대입구,12860,12436,25296
17,20200102,공항철도,디지털미디어시티,15588,13744,29332
18,20200102,공항철도,마곡나루,7672,6905,14577
19,20200102,공항철도,김포공항,10898,6974,17872
20,20200102,공항철도,계양,10924,9754,20678
21,20200102,공항철도,검암,8743,8146,16889
22,20200102,공항철도,청라국제도시,7481,6909,14390
23,20200102,공항철도,운서,7562,8105,15667
24,20200102,공항철도,공항화물청사,2669,3006,5675
25,20200102,공항철도,인천공항1터미널,16233,16860,33093
26,20200102,공항철도,인천공항2터미널,5982,5497,11479
27,20200102,공항철도,영종,3022,3036,6058
28,20200103,공항철도,서울역,16000,13245,29245
29,20200103,공항철도,공덕,2898,3757,6655
30,20200103,공항철도,홍대입구,13732,14199,27931
31,20200103,공항철도,디지털미디어시티,15676,13792,29468
32,20200103,공항철도,마곡나루,8513,7111,15624
33,20200103,공항철도,김포공항,11998,6776,18774
34,20200103,공항철도,계양,11135,10171,21306
35,20200103,공항철도,검암,9119,8520,17639
36,20200103,공항철도,청라국제도시,7952,7183,15135
37,20200103,공항철도,운서,7923,8298,16221
38,20200103,공항철도,공항화물청사,2804,3013,5817
39,20200103,공항철도,인천공항1터미널,16807,16833,33640
40,20200103,공항철도,인천공항2터미널,5878,5210,11088
41,20200103,공항철도,영종,3096,3297,6393
42,20200104,공항철도,서울역,14880,12779,27659
43,20200104,공항철도,공덕,2231,3398,5629
44,20200104,공항철도,홍대입구,14817,14439,29256
45,20200104,공항철도,디지털미디어시티,7122,6469,13591
46,20200104,공항철도,마곡나루,2636,2783,5419
47,20200104,공항철도,김포공항,10108,5491,15599
48,20200104,공항철도,계양,8052,7258,15310
49,20200104,공항철도,검암,5966,5959,11925
50,20200104,공항철도,청라국제도시,4618,4416,9034
51,20200104,공항철도,운서,7259,7833,15092
52,20200104,공항철도,공항화물청사,1633,1715,3348
53,20200104,공항철도,인천공항1터미널,16074,16738,32812
54,20200104,공항철도,인천공항2터미널,5582,5267,10849
55,20200104,공항철도,영종,2936,2867,5803
