,사용일자,노선명,역명,승차총승객수,하차총승객수,승하차총승객수
0,20200101,수인분당선,인천,1109,1571,2680
1,20200101,수인분당선,신포,1111,1117,2228
2,20200101,수인분당선,숭의,1789,1605,3394
3,20200101,수인분당선,인하대,2319,2306,4625
4,20200101,수인분당선,송도,1598,1586,3184
5,20200101,수인분당선,연수,3056,2945,6001
6,20200101,수인분당선,원인재,2417,2516,4933
7,20200101,수인분당선,남동인더스파크,477,476,953
8,20200101,수인분당선,호구포,1629,1737,3366
9,20200101,수인분당선,인천논현,2958,3138,6096
10,20200101,수인분당선,소래포구,3483,3220,6703
11,20200101,수인분당선,월곶,1615,1497,3112
12,20200101,수인분당선,달월,39,37,76
13,20200101,수인분당선,매교,982,1061,2043
14,20200101,수인분당선,수원시청,7916,6075,13991
15,20200101,수인분당선,매탄권선,2100,2204,4304
16,20200101,수인분당선,망포,5445,6235,11680
17,20200101,수인분당선,영통,4684,5088,9772
18,20200101,수인분당선,청명,1567,1878,3445
19,20200101,수인분당선,상갈,2755,2912,5667
20,20200101,수인분당선,기흥,4643,4639,9282
21,20200101,수인분당선,신갈,1759,1935,3694
22,20200101,수인분당선,구성,1970,2115,4085
23,20200101,수인분당선,죽전,6371,7489,13860
24,20200101,수인분당선,보정,1101,1014,2115
25,20200101,수인분당선,이매,2473,2629,5102
26,20200101,수인분당선,오리,5265,4627,9892
27,20200101,수인분당선,미금,7780,8614,16394
28,20200101,수인분당선,정자,6244,6615,12859
29,20200101,수인분당선,수내,4630,4720,9350
30,20200101,수인분당선,서현,13363,12778,26141
31,20200101,수인분당선,야탑,13790,14130,27920
32,20200101,수인분당선,모란,10572,10899,21471
33,20200101,수인분당선,태평,7649,7461,15110
34,20200101,수인분당선,가천대,2871,3742,6613
35,20200101,수인분당선,선정릉,1676,1640,3316
36,20200101,수인분당선,강남구청,2176,2431,4607
37,20200101,수인분당선,압구정로데오,4953,5406,10359
38,20200101,수인분당선,서울숲,2775,2832,5607
39,20200101,수인분당선,수원,4933,3437,8370
40,20200101,수인분당선,수서,7186,6991,14177
41,20200101,수인분당선,대모산입구,1205,1216,2421
42,20200101,수인분당선,개포동,1375,1439,2814
43,20200101,수인분당선,구룡,440,485,925
